PostalCode,Address,Route_January,Route_July,LeafYardWaste_January,LeafYardWaste_July,PropertyType
P6A 0B3,29 Appaloosa Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2M1,1287 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1M7,1148 Wallace Terrace,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,279 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,331 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N3,53 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P4,163 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5T5,45 Rex Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,501 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6A 5K8,1356 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6C 5R9,430 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,48 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N7,15 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N4,88 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R9,444 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1M7,1140 Wallace Terrace,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,1348 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6A 0B2,117 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1M8,1147 Wallace Terrace,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L8,1074 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6A 0B2,104 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L9,1135 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,405 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,140 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,75 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R5,463 Royce Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P7,223 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L3,810 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,1383 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6C 1N9,93 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P4,149 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N7,55 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 6G4,6 Sunset Court,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,57 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N7,29 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P4,141 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B3,93 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,69 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R2,27 Rosita Street,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N4,84 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N7,21 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B3,54 Appaloosa Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P4,185 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N5,111 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N5,83 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R4,464 Royce Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N5,79 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N5,97 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,148 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N7,47 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L3,838 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,118 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1M7,1136 Wallace Terrace,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K6,740 Base Line,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6C 5P7,231 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,1331 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6A 0B4,78 Pinto Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,159 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K6,660 Base Line,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6A 5K8,875 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K6,748 Base Line,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6C 5S3,22 Broos Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B3,42 Appaloosa Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N8,30 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R6,44 Rex Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N8,16 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1M8,1163 Wallace Terrace,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1M8,1191 Wallace Terrace,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L8,1150 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,263 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N4,74 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N9,81 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R4,468 Royce Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,112 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N5,73 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,1115 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L9,1115 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2M2,1296 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R4,450 Royce Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B3,48 Appaloosa Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,80 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R5,459 Royce Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N8,20 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5S2,25 Broos Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,285 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,524 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6C 2L9,1201 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B4,64 Pinto Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,11 Appaloosa Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,124 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N7,41 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B4,104 Pinto Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R8,264 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,17 Appaloosa Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N6,100 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L8,1208 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,728 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,449 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,165 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,23 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R1,58 Rosita Street,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L8,1090 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6A 5K8,1095 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R5,455 Royce Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R9,370 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R5,451 Royce Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L8,1100 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6A 0B1,51 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R9,376 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R9,420 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L8,1220 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N8,24 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P7,247 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,135 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1P1,72 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B3,81 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1P1,80 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1P1,76 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L7,968 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P6,210 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P2,169 Brookfield Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P2,165 Brookfield Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R9,356 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,259 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P2,181 Brookfield Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P2,189 Brookfield Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,1101 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R9,388 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5N6,7 North Eden Street,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1W8,30 Eden Square,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5N6,15 North Eden Street,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5M3,429 Whitney Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 3A2,127 Chippewa Street,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L9,1167 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1R1,179 Asquith Street,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5V2,25 Alden Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5V2,21 Alden Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5V2,19 Alden Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5A6,363 Goulais Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5A6,365 Goulais Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5A6,367 Goulais Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N4,70 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,987 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5V2,23 Alden Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B3,18 Arabian Court,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1W8,34 Eden Square,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5E2,126 Glen Avenue,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 6T2,59 Simon Avenue,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 6T2,73 Simon Avenue,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 6T2,80 Simon Avenue,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 5T7,2122 Queen Street East,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 6S8,43 East Champagne Drive,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 6S8,39 East Champagne Drive,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 4W9,56 Adrian Drive,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 4W9,54 Adrian Drive,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 4W9,112 Adrian Drive,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 4W9,110 Adrian Drive,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 4W9,104 Adrian Drive,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 4W9,58 Adrian Drive,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 6T2,72 Simon Avenue,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 6H5,38 Lorna Drive,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 4X2,108 Ashgrove Avenue,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 6H5,42 Lorna Drive,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 2G8,1897 Queen Street East,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 6T1,138 Simon Avenue,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 4V2,221 Chambers Avenue,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 6H1,45 Copernicus Drive,Tuesday,Tuesday,"Route ""B""","Route ""B""",Residential
P6A 6J8,435 Case Road,Thursday,Thursday,"Route ""B""","Route ""B""",Non-residential
P6B 6H6,308 Millcreek Drive,Thursday,Thursday,"Route ""B""","Route ""B""",Residential
P6B 6L5,264 Millcreek Drive,Thursday,Thursday,"Route ""B""","Route ""B""",Residential
